in s,C1 in V
-1.19252E-05,2.68555E-01
-1.19248E-05,1.70898E-01
-1.19244E-05,1.70898E-01
-1.19240E-05,1.22070E-01
-1.19236E-05,1.70898E-01
-1.19232E-05,2.19727E-01
-1.19228E-05,1.70898E-01
-1.19224E-05,3.17383E-01
-1.19220E-05,1.70898E-01
-1.19216E-05,3.17383E-01
-1.19212E-05,2.19727E-01
-1.19208E-05,2.68555E-01
-1.19204E-05,3.17383E-01
-1.19200E-05,2.19727E-01
-1.19196E-05,1.70898E-01
-1.19192E-05,2.19727E-01
-1.19188E-05,2.19727E-01
-1.19184E-05,3.17383E-01
-1.19180E-05,2.68555E-01
-1.19176E-05,3.66211E-01
-1.19172E-05,2.19727E-01
-1.19168E-05,2.68555E-01
-1.19164E-05,7.32422E-02
-1.19160E-05,1.70898E-01
-1.19156E-05,2.19727E-01
-1.19152E-05,2.19727E-01
-1.19148E-05,1.22070E-01
-1.19144E-05,2.68555E-01
-1.19140E-05,2.19727E-01
-1.19136E-05,2.68555E-01
-1.19132E-05,3.17383E-01
-1.19128E-05,2.19727E-01
-1.19124E-05,2.68555E-01
-1.19120E-05,3.17383E-01
-1.19116E-05,1.70898E-01
-1.19112E-05,1.22070E-01
-1.19108E-05,2.19727E-01
-1.19104E-05,5.12695E-01
-1.19100E-05,3.66211E-01
-1.19096E-05,4.15039E-01
-1.19092E-05,3.66211E-01
-1.19088E-05,4.15039E-01
-1.19084E-05,4.63867E-01
-1.19080E-05,3.66211E-01
-1.19076E-05,4.15039E-01
-1.19072E-05,5.12695E-01
-1.19068E-05,4.15039E-01
-1.19064E-05,6.59180E-01
-1.19060E-05,5.12695E-01
-1.19056E-05,5.12695E-01
-1.19052E-05,4.15039E-01
-1.19048E-05,3.17383E-01
-1.19044E-05,6.10352E-01
-1.19040E-05,7.08008E-01
-1.19036E-05,6.59180E-01
-1.19032E-05,6.10352E-01
-1.19028E-05,6.10352E-01
-1.19024E-05,7.08008E-01
